Type, Id, Timestamp, Message
POST,1,2015-01-08 17:44:14,"สำหรับเวลานี้ ราตรีสวัสดิ์จ้า 😄😴"
POST,2,2015-01-12 22:56:27,"ใครพลาดดู #เพลิงบุญ ตอนล่าสุด กดชมย้อนหลัง ep.9 กันได้แล้วจ้า....  http://bit.ly/2vMEfaW"
COMMENT,2,2015-01-12 22:56:27,"ทำไม่ตอนนี้ upload นานจัง"
COMMENT,2,2015-01-12 22:56:27,"มี1แล้ว9เลย รอนานมาก"
COMMENT,2,2015-01-12 22:56:27,"เกลียดไอ้ฤกษ์ มันจะต้องได้รับกรรมอย่างสาสม อิใจเริงด้วย อิงูพิษ เลี้ยงไม่เชื่อง  อินจัดดดด"
COMMENT,2,2015-01-12 22:56:27,"พิมพ์ เห็นไหม ผัวตอกกลับ ว่าถ้าเทอ ขอร้อง เค้าก้อจะรับ"
COMMENT,2,2015-01-12 22:56:27,"รอนาน"
COMMENT,2,2015-01-12 22:56:27,"รอนานมาก"
POST,3,2015-01-08 22:19:41,"📣 Journey The Series แก๊งเฟี้ยวเที่ยวทั่วไทย คืนนี้ 3 พิธีกร พาไปชมสีสันของจังหวัดตราด จะสนุกสนานแค่ไหนติดตามได้ในเวลา 23:20 น. ทางช่อง 33  📲 ไม่สะดวกรับชมผ่านทีวี สามารถดูออนไลน์ได้ที่ http://bit.ly/ch33Live 📲 หรืออีกหนึ่งช่องทางผ่าน Application 3Live ใครยังไม่มีติดมือถือไว้กดดาวน์โหลดง่ายๆ ได้ที่ http://bit.ly/3LIVEapp  #JourneyTheSeries #แก๊งเฟี้ยวเที่ยวทั่วไทย #ช่อง33 #Ch3Thailand"
COMMENT,3,2015-01-08 22:19:41,"💘💘💘"
POST,4,2015-01-08 14:49:01,"“หมากล้อม”เกมโบราณพันปีแห่งจักรวรรดิจีน  http://www.ch3thailand.com/news/scoop/9024  ติดตาม ลิ่วซ่านเหมิน สำนักพิทักษ์คุณธรรมทุกวันอังคาร-พฤหัสบดี เวลา 21.00 น. ทาง #ช่อง28"
POST,5,2015-01-09 02:16:11,"ช่อง 3 เอาใจคอบอล ถ่ายทอดสดฟุตบอลโลก 2018 รอบคัดเลือกโซนยุโรป ให้ชมเต็มอิ่ม มีคู่ไหนเวลาใดบ้าง Save เก็บไว้เลย  #ฟุตบอลโลก2018 #WorldCup2018 #WorldCupQualifiers #Ch3Thailand #ช่อง3"
POST,6,2015-01-11 03:24:21,"🔥#เพลิงบุญ มาแล้ว!!! กดเลย #ช่อง33  📱ส่วนใครที่กำลังเดินทาง หรือไม่สะดวกดูทางทีวี สามารถดูสดออนไลน์ได้ทางเว็บนี้ >> http://bit.ly/ch33Live หรืออีกหนึ่งช่องทางผ่านแอพ 3Live ถ้ายังไม่มีดาวน์โหลดได้ที่ http://bit.ly/3LIVEapp  💕ปล. แอดมินใช้แอพ 3Live ดูอยู่เหมือนกันจ้า😊😊😊  #Ch3Thailand"
COMMENT,6,2015-01-11 03:24:21,"ปกติพอพักเบรกก็ลงยูทูปได้เลยไม่ใช่หรอคะ ทำไมถึงเปลี่ยนไปลงเที่ยงคืน คือมันเสียเวลาอ่ะค่ะ มันมีผลดียังไงคะ"
COMMENT,6,2015-01-11 03:24:21,"จะลงยูทูปตอนไหนค่ะ"
COMMENT,6,2015-01-11 03:24:21,"สดไม่มี รมเสีย"
COMMENT,6,2015-01-11 03:24:21,"เลวทั้งใจเริงและฤกษ์"
COMMENT,6,2015-01-11 03:24:21,"เกียดผู้ชาย"
COMMENT,6,2015-01-11 03:24:21,"ผัวระยำสุด ถ้าไม่กลับไปยุ่งกะใจเริงซะอย่างใจเริงก็ทำไรไม่ได้"
COMMENT,6,2015-01-11 03:24:21,"ทำไมลง ยูทูปช้าจังค่ะ"
COMMENT,6,2015-01-11 03:24:21,"พี่ฤกษ์  😡😡"
COMMENT,6,2015-01-11 03:24:21,"ชั้นจะข่วนหน้าเธอ ใจเริง!! 😂😂"
COMMENT,6,2015-01-11 03:24:21,"💘💘💘"
COMMENT,6,2015-01-11 03:24:21,"ตอบคำถามประจำสัปดาห์ช่องทางไหนคะ"
COMMENT,6,2015-01-11 03:24:21,"ติบคำถามช่งทางไหน"
COMMENT,6,2015-01-11 03:24:21,"Araya Klinsrisuk"
POST,7,2015-01-10 04:22:54,"ถ่านไฟเก่า ที่ยังไม่มอดสนิท มันก็จะปะทุง่ายหน่อยๆ   http://www.ch3thailand.com/news/scoop/9035  คืนนี้เรื่องราวจะเข้มข้นขึ้นไปอีก ติดตาม เพลิงบุญ คืนนี้ เวลา 20.20 น. ทาง #ช่อง33"
COMMENT,7,2015-01-10 04:22:54,"ดูในไหนได้บ้างค่ะบอกหน่อยค่ะนอกจากโทรทัด"
COMMENT,7,2015-01-10 04:22:54,"สดไม่มีรมเสีย"
COMMENT,7,2015-01-10 04:22:54,"ดูกี่ตอนๆ ห้องนอนพิมนี่ประตูไม่เคยปิด คนนู้นเข้าคนนี้ออก แยกไม่ออกนั่นห้องนอนหรือห้องนั่งเล่น นี่แหละน้อละครไทย"
COMMENT,7,2015-01-10 04:22:54,"อีใจเริงสงสัยอยากได้เปลือกทุเรียน"
COMMENT,7,2015-01-10 04:22:54,"ฤกษ์เลวพอกลับใจเริงสันดานไม่ดีพอกัน"
COMMENT,7,2015-01-10 04:22:54,""
COMMENT,7,2015-01-10 04:22:54,"คุณเจนนี่เล่นดีมากๆ"
COMMENT,7,2015-01-10 04:22:54,"ใจเริงสะตอเยอะมาก"
COMMENT,7,2015-01-10 04:22:54,"สนุกมากๆ"
COMMENT,7,2015-01-10 04:22:54,"ใจเริงมันเลว"
POST,8,2015-01-10 22:28:14,"นายฤกษ์ คงมีความสุขมากสินะ #เพลิงบุญ #ช่อง33"
COMMENT,8,2015-01-10 22:28:14,"ดูไปแล้วรู้สึกเครียด ผู้หญิงร้ายผู้ชายอ่อน ผู้หญิงอีกคนก็อ่อน ดูแล้วมันเขี้ยวจัง คนดูอายุมากแล้วคงไม่เหมาะกับละครเรื่องนี้555"
COMMENT,8,2015-01-10 22:28:14,"ถ้าท่างดูมีความสุข...น่ะตาฤกษ"
POST,9,2015-01-10 22:13:41,"ร้ายเหลือเกิน ใจเริง คนบาป2017 #เพลิงบุญ #ช่อง33"
COMMENT,9,2015-01-10 22:13:41,"Jut karn mun br hery J'Jiep Latsamy"
COMMENT,9,2015-01-10 22:13:41,"🌼🌼🌼🌼🌼🌼"
COMMENT,9,2015-01-10 22:13:41,"55555"
COMMENT,9,2015-01-10 22:13:41,"😡😡😡😡😡😡😡😡"
POST,10,2015-01-10 21:55:21,"ไม่ต้องมาทำหน้าอย่างนี้นะพิม กำลังเปิด #ช่อง33 รอดู #เพลิงบุญ อยู่แล้ว"
COMMENT,10,2015-01-10 21:55:21,""
COMMENT,10,2015-01-10 21:55:21,"รอหน้าจอแล้วค่ะ"
COMMENT,10,2015-01-10 21:55:21,""
POST,11,2015-01-10 21:41:17,"ความรู้สึกของ  “ป้อง” ณวัฒน์ เมื่อได้ประกบคู่กับ 2 นางเอก 2 สไตล์ อย่าง “เจนี่ เทียนโพธิ์สุวรรณ์” และ “เบลล่า ราณี” ในละครเรื่อง #เพลิงบุญ สามารถติดตามชม MV #ขอโทษ ได้ที่ https://youtu.be/8n_BjQgefc4  #ChandelierMusic #เพลงประกอบละครช่อง3 #Ch3ThailandMusic"
POST,12,2015-01-08 15:04:18,"‘มิ้นต์ ชลิดา’นำทีมเปิดวิกลิเกในละคร‘รักหลงโรง’  http://www.ch3thailand.com/news/scoop/9025  ติดตามชมละครเรื่อง รักหลงโรง ทุกวันศุกร์ เวลา 20.00 น.และเสาร์ – อาทิตย์ เวลา 20.15 น. ทาง #ช่อง33 ศุกร์ที่ 1 กันยายนนี้ ตอนแรกนะคะ"
POST,13,2015-01-08 18:45:08,"“ซงเกาจง”ฮ่องเต้เจ้าสมุทร ชื่อนี้มีที่มาอย่างไร มาดูกันค่ะ  http://www.ch3thailand.com/news/scoop/9027  ติดตาม งักฮุย แม่ทัพพิทักษ์แผ่นดิน ทุกวันจันทร์-พฤหัสบดี เวลา 20.30 น.และศุกร์ เวลา 20.45 น. ทาง #ช่อง13"
POST,14,2015-01-10 00:05:31,"เตรียมตัวเชียร์กันอีกครั้ง 20 ก.ย.นี้ สดทางช่อง 3 🎉🏐🇹🇭️  #Ch3Thailand #ช่อง3"
COMMENT,14,2015-01-10 00:05:31,"พร้อมค่ะ"
POST,15,2015-01-09 15:55:14,"ตารางการถ่ายทอดสด การแข่งขันฟุตบอลโลก 2018 รอบคัดเลือก โซนยุโรป ในวันที่ 31 สิงหาคม - 2 กันยายน 2560 ทางช่อง 33 , 28 , 13 #ch3thailand"
COMMENT,15,2015-01-09 15:55:14,"ขอบคุณค่ะ"
COMMENT,15,2015-01-09 15:55:14,""
POST,16,2015-01-08 14:35:28,"“ชุดกาบคำ”สัญลักษ์ที่มากกว่า“ชุดแต่งงาน”ของชนชั้นสูง  http://www.ch3thailand.com/news/scoop/9023  เตรียมพบกับ “รากนครา”ละครฟอร์มยักษ์ สะท้อนวัฒนธรรมและความคิดทรงคุณค่าทางประวัติศาสตร์ ทุกวันจันทร์ – อังคาร เวลา 20.20 น.ทาง #ช่อง33 เริ่มตอนแรก วันที่ 5 กันยายนนี้"
COMMENT,16,2015-01-08 14:35:28,"ละครอิงประวัติศาสตร์สร้างจากเรื่องจริง แต้ว แสดงเป็นอั้ม...แล้วใครแสดงเป็น นุ่น"
COMMENT,16,2015-01-08 14:35:28,""
COMMENT,16,2015-01-08 14:35:28,"ละเอียดละออมากจริงๆค่ายนี้"
COMMENT,16,2015-01-08 14:35:28,"ชุดสวยอลังมากค่ะ"
POST,17,2015-01-09 15:22:18,"ศุกร์นี้พบกับ Facebook LIVE พูดคุยกับ "ปลั๊ก ภุมเรศ" กูรูวอลเลย์บอล พร้อมกันในรายการ FANSZONE เกาะติดสนาม เวลาบ่ายโมงตรง ทางแฟนเพจ #Ch3Thailand เท่านั้นนะจ๊ะ"
POST,18,2015-01-09 04:53:24,"พี่ฤกษ์ เกลียดเริงมากใช่มั้ย อยากเอาคืนเริงมากใช่มั้ย เอาเลยสิคะ!!!"
COMMENT,18,2015-01-09 04:53:24,"ดูอยู่ค่ะ"
COMMENT,18,2015-01-09 04:53:24,"ดุตั้งแต่ตอนแรกค่ะชอบ"
POST,19,2015-01-08 18:31:34,"“อโศก”ตัวแทนบุรุษ ผู้หยุดการกระทำผิดต่อสตรี  http://www.ch3thailand.com/news/scoop/9026  ติดตาม อโศกมหาราช ทุกวันจันทร์ – พฤหัสบดี เวลา 18.20 น.และวันศุกร์ เวลา 18.00 น.สุดยอดซีรีส์ ช่อง 13"
